variant,image,time_block,arm,v1_t_m,v1_r_deg,lidar_only_t_m,lidar_only_r_deg,result_t_m,result_r_deg,v1_success,lidar_only_success,result_success,solver_called,solver_converged,nfev,residual_calls,lidar_support,camera_support,lidar_objective_before,lidar_objective_after,camera_scan_gt_t_m,camera_scan_gt_r_deg,camera_reference_result_t_m,camera_reference_result_r_deg
selected,1329069247934369,22151154,lidar_only,0.3664628847810439,0.9296714650253443,0.34092259616433385,0.9512175489334739,0.34092259616433385,0.9512175489334739,True,True,True,True,True,8,56,202,0,0.10306621635231508,0.10080282107060105,4.095924918043034e-06,3.972043083366393e-05,0.34092157478177837,0.9512463311534942
selected,1329069247934369,22151154,prediction_full,0.3664628847810439,0.9296714650253443,0.34092259616433385,0.9512175489334739,0.33852438332983137,0.9524723949517059,True,True,True,True,True,8,56,202,10,0.10306621635231508,0.1008721759428041,4.095924918043034e-06,3.972043083366393e-05,0.33852338211072613,0.952501930919251
selected,1329069247934369,22151154,prediction_common,0.3664628847810439,0.9296714650253443,0.34092259616433385,0.9512175489334739,0.34050316177628287,1.0037850752878972,True,True,True,True,True,8,56,202,16,0.10306621635231508,0.10100977596822659,4.095924918043034e-06,3.972043083366393e-05,0.34050215951925905,1.0038144309557535
selected,1329069247934369,22151154,oracle_prediction,0.3664628847810439,0.9296714650253443,0.34092259616433385,0.9512175489334739,0.34904549617528047,1.534589444936542,True,True,True,True,True,9,63,202,14,0.10306621635231508,0.11914258197629833,4.095924918043034e-06,3.972043083366393e-05,0.3490444053147392,1.5346203015316786
selected,1329069247934369,22151154,oracle_matched_random,0.3664628847810439,0.9296714650253443,0.34092259616433385,0.9512175489334739,0.3403919282945053,1.0835370066510537,True,True,True,True,True,8,56,202,2,0.10306621635231508,0.10476668301561969,4.095924918043034e-06,3.972043083366393e-05,0.34039083975220397,1.0835647483802473
selected,1329069248934466,22151154,lidar_only,0.21010492484006338,1.321213441346579,0.19994469238943585,1.343892341978939,0.19994469238943585,1.343892341978939,True,True,True,True,True,8,56,269,0,0.14483815077267148,0.1428225062148526,0.0006499514647348136,0.05262952042275299,0.20050668883979064,1.3839951295769868
selected,1329069248934466,22151154,prediction_full,0.21010492484006338,1.321213441346579,0.19994469238943585,1.343892341978939,0.2015371763327906,1.3504413836052924,True,True,True,True,True,8,56,269,9,0.14483815077267148,0.14284801591201032,0.0006499514647348136,0.05262952042275299,0.20209937172561648,1.3902119622704734
selected,1329069248934466,22151154,prediction_common,0.21010492484006338,1.321213441346579,0.19994469238943585,1.343892341978939,0.20071189190734204,1.3421653619013376,True,True,True,True,True,8,56,269,15,0.14483815077267148,0.14283102140558002,0.0006499514647348136,0.05262952042275299,0.20127455350355616,1.382135198081592
selected,1329069248934466,22151154,oracle_prediction,0.21010492484006338,1.321213441346579,0.19994469238943585,1.343892341978939,0.2123303307616056,1.1829808987176782,True,True,True,True,True,8,56,269,11,0.14483815077267148,0.15377319169483664,0.0006499514647348136,0.05262952042275299,0.21292523588251583,1.2177701227361755
selected,1329069248934466,22151154,oracle_matched_random,0.21010492484006338,1.321213441346579,0.19994469238943585,1.343892341978939,0.20291448423431582,1.3837867241027089,True,True,True,True,True,8,56,269,2,0.14483815077267148,0.14340950681213074,0.0006499514647348136,0.05262952042275299,0.20345496536179533,1.4238848530356711
selected,1329069249934565,22151154,lidar_only,0.1474960145132368,1.289443568970737,0.1521909284936527,1.2891440938952394,0.1521909284936527,1.2891440938952394,True,True,True,True,True,7,49,455,0,0.208340852415237,0.20789677367450737,0.0005555434625794187,0.0038305112506365363,0.15256637756788663,1.2906906523639061
selected,1329069249934565,22151154,prediction_full,0.1474960145132368,1.289443568970737,0.1521909284936527,1.2891440938952394,0.15122376538345517,1.2948593132170674,True,True,True,True,True,6,42,455,15,0.208340852415237,0.20793255582239847,0.0005555434625794187,0.0038305112506365363,0.15159647903012652,1.2964077467946449
selected,1329069249934565,22151154,prediction_common,0.1474960145132368,1.289443568970737,0.1521909284936527,1.2891440938952394,0.1525213461709463,1.2768517856819879,True,True,True,True,True,7,49,455,14,0.208340852415237,0.207969516911802,0.0005555434625794187,0.0038305112506365363,0.15289945284350148,1.2783622952463893
selected,1329069249934565,22151154,oracle_prediction,0.1474960145132368,1.289443568970737,0.1521909284936527,1.2891440938952394,0.16127053486604712,1.1133980404330615,True,True,True,True,True,8,56,455,13,0.208340852415237,0.22729398398873607,0.0005555434625794187,0.0038305112506365363,0.16168972466703024,1.1142241016654173
selected,1329069249934565,22151154,oracle_matched_random,0.1474960145132368,1.289443568970737,0.1521909284936527,1.2891440938952394,0.14873600618433203,1.239894711680025,True,True,True,True,True,7,49,455,4,0.208340852415237,0.21012085279970702,0.0005555434625794187,0.0038305112506365363,0.14912261865910756,1.2413237622701585
selected,1329069250934671,22151154,lidar_only,0.09958584935563577,0.6208754862775666,0.10184016331864741,0.6723988151771355,0.10184016331864741,0.6723988151771355,True,True,True,True,True,7,49,406,0,0.20544579902993465,0.2032654001216897,0.0002928705249878755,0.004358366082239895,0.10202182103432117,0.673066253627149
selected,1329069250934671,22151154,prediction_full,0.09958584935563577,0.6208754862775666,0.10184016331864741,0.6723988151771355,0.10068209466744871,0.6688364869402832,True,True,True,True,True,7,49,406,16,0.20544579902993465,0.2032988722331258,0.0002928705249878755,0.004358366082239895,0.1008639172975465,0.6695131694341119
selected,1329069250934671,22151154,prediction_common,0.09958584935563577,0.6208754862775666,0.10184016331864741,0.6723988151771355,0.10422805282773878,0.6371074055477128,True,True,True,True,True,7,49,406,23,0.20544579902993465,0.20356583018120414,0.0002928705249878755,0.004358366082239895,0.10441444722346427,0.6376276064245264
selected,1329069250934671,22151154,oracle_prediction,0.09958584935563577,0.6208754862775666,0.10184016331864741,0.6723988151771355,0.13276327868276133,0.42837042173292,True,True,True,True,True,9,63,406,23,0.20544579902993465,0.22908668664658405,0.0002928705249878755,0.004358366082239895,0.13297744819605928,0.4265753620109892
selected,1329069250934671,22151154,oracle_matched_random,0.09958584935563577,0.6208754862775666,0.10184016331864741,0.6723988151771355,0.11237406392933158,0.6196251220672577,True,True,True,True,True,7,49,406,3,0.20544579902993465,0.20384549946173375,0.0002928705249878755,0.004358366082239895,0.11256051246003061,0.6201503834491973
selected,1329069251934750,22151154,lidar_only,0.10224493145442173,0.6928166400332538,0.08764307781051012,0.6352118420197295,0.08764307781051012,0.6352118420197295,True,True,True,True,True,8,56,328,0,0.1737631010961572,0.16970669416428746,1.5882438880877724e-05,0.00011349183626967868,0.0876470463723912,0.6352961400959278
selected,1329069251934750,22151154,prediction_full,0.10224493145442173,0.6928166400332538,0.08764307781051012,0.6352118420197295,0.0869361508144319,0.6466653958043623,True,True,True,True,True,8,56,328,12,0.1737631010961572,0.16972586230293632,1.5882438880877724e-05,0.00011349183626967868,0.08694020652738935,0.6467495410052339
selected,1329069251934750,22151154,prediction_common,0.10224493145442173,0.6928166400332538,0.08764307781051012,0.6352118420197295,0.08778836810340204,0.6349752532135,True,True,True,True,True,8,56,328,13,0.1737631010961572,0.16972489496914428,1.5882438880877724e-05,0.00011349183626967868,0.08779235684351992,0.6350582117332927
selected,1329069251934750,22151154,oracle_prediction,0.10224493145442173,0.6928166400332538,0.08764307781051012,0.6352118420197295,0.09488373025472246,0.6465662432554482,True,True,True,True,True,7,49,328,13,0.1737631010961572,0.17490473962787115,1.5882438880877724e-05,0.00011349183626967868,0.09488821001703528,0.6466238258324251
selected,1329069251934750,22151154,oracle_matched_random,0.10224493145442173,0.6928166400332538,0.08764307781051012,0.6352118420197295,0.08782074125643698,0.6324491103087524,True,True,True,True,True,8,56,328,1,0.1737631010961572,0.1707239475667162,1.5882438880877724e-05,0.00011349183626967868,0.08782559324746064,0.6325391151832802
selected,1329069252934879,22151154,lidar_only,0.16223218128972153,0.999176164827299,0.1561021977693547,1.017214391352879,0.1561021977693547,1.017214391352879,True,True,True,True,True,7,49,431,0,0.22138625365584888,0.21969272928696895,0.0005627852686127532,0.006036603355642882,0.15568707270416063,1.0126266295986488
selected,1329069252934879,22151154,prediction_full,0.16223218128972153,0.999176164827299,0.1561021977693547,1.017214391352879,0.15619256417753963,1.031333536691577,True,True,True,True,True,7,49,431,16,0.22138625365584888,0.21977822973358027,0.0005627852686127532,0.006036603355642882,0.15578047951093793,1.0268250789967392
selected,1329069252934879,22151154,prediction_common,0.16223218128972153,0.999176164827299,0.1561021977693547,1.017214391352879,0.15742838556360203,1.026356027427786,True,True,True,True,True,7,49,431,18,0.22138625365584888,0.21973091809408624,0.0005627852686127532,0.006036603355642882,0.15701058570648638,1.021773256679933
selected,1329069252934879,22151154,oracle_prediction,0.16223218128972153,0.999176164827299,0.1561021977693547,1.017214391352879,0.16416693357109316,0.9816543840739774,True,True,True,True,True,7,49,431,14,0.22138625365584888,0.22161882161238763,0.0005627852686127532,0.006036603355642882,0.1637627751997604,0.977397909724499
